cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
Concord,California,1434.404,67530.734,146422.9358,52.05270917,-1.964130618,0.706557099,1,1.270516988
Cedar Rapids,Iowa,7185.399,471415.902,866612.844,59.62201471,-2.244866116,0.736166772,4,2.179764934
Boulder,Colorado,2134.536,152447.299,269846.789,55.25042943,-1.858487622,0.5970741,1,1.890655806
Ramapo,New York,1422.013,193092.049,271302.7523,0.065117787,-0.289596206,1.082483812,1,1.259541715
Carrollton,Texas,2666.796,274856.473,421530.2752,37.53605042,-2.30962059,0.753078413,2,1.387115985
Thousand Oaks,California,368.085,128508.563,148753.211,36.86105837,-2.032131307,0.663876983,1,0.326029658
Victorville,California,4065.49,120921.916,344523.8532,29.22796533,-1.570684718,0.776469,1,3.600989757
Roseville,California,2494.736,167939.959,305150.4587,44.702136,-2.019379856,0.694320845,1,2.20970136
Surprise,Arizona,896.812,231412.029,280736.6972,65.95211635,-0.809289684,0.703559278,2,0.466470724
New Haven,Connecticut,696.896,51443.17,89772.47706,11.36795302,-2.141375615,0.818591132,1,0.617272545
Hamilton,Ohio,307.162,137127.217,154021.1009,30.19508829,-1.644868469,0.883335853,1,0.272067381
Waco,Texas,1677.958,218762.793,311050.4587,33.23602374,-1.836211035,0.768405187,2,0.872778557
Simi Valley,California,3800.626,434092.202,643126.6055,29.40940342,-1.966606634,0.71415932,4,1.152959117
Stamford,Connecticut,2306.222,111191.743,238033.945,24.24277888,-2.072738609,0.771555335,1,2.04272592
Pearland,Texas,2505.422,164741.233,302539.4495,43.57767967,-2.274504161,0.767133961,1,2.219166437
Elizabeth,New Jersey,2440.288,262044.699,396260.5505,1.775365978,0.287821271,0.996093611,2,1.269299374
Santa Fe,New Mexico,1805.227,43246.483,142533.945,30.43855882,-2.601869953,0.897080194,1,1.598971818
Gainesville,Georgia,1559.945,197042.457,282839.4495,27.30336573,-1.975806744,0.861388555,1,1.381714373
Springfield,Illinois,2926.245,220896.891,381840.367,54.79501529,-2.344523885,0.70307511,2,1.522066635
Allentown,Pennsylvania,2657.019,327991.488,474127.5229,35.94177365,-2.535044559,0.862527235,3,0.978455602
Flint,Michigan,1363.699,136901.121,211904.5872,11.39177173,-0.676390853,0.972986971,1,1.207890348
Frederick,Maryland,2755.095,290325.739,441855.9633,34.71957434,-1.778257779,0.901230364,2,1.433044115
Murrieta,California,759.285,106703.568,148464.2202,38.68685964,-1.637742321,0.721721736,1,0.672533325
Temecula,California,824.605,137015.545,182368.8073,37.53570823,-1.628634823,0.710454162,1,0.730390226
East Los Angeles,California,1226.945,157085.015,224566.9725,2.288752647,-1.947078853,0.956794982,1,1.086761098
Joliet,Illinois,1053.919,135861.06,193826.6055,29.86148844,-3.228095665,0.901518516,1,0.933504085
Vallejo,California,273.348,71835.576,86869.72477,20.22806698,-1.490956513,0.868845798,1,0.24211678
Concord,North Carolina,1402.634,78201.019,155345.8716,30.42712862,-1.828064998,0.909990795,1,1.242376852
Town Of Amherst,New York,3396.346,499067.023,685866.055,43.68244739,-2.266888816,0.581616555,4,1.030316607
Norman,Oklahoma,1002.024,99741.896,154853.211,40.00275194,-2.094381563,0.772541631,1,0.887538319
Nampa,Idaho,4188.473,659346.84,889712.844,44.52041603,-1.575946858,0.778336849,6,0.768071011
Berkeley,California,1511.807,157830.428,240979.8165,15.67916085,-2.202744481,0.748999374,1,1.339076353
Westminster,Colorado,173.039,118365.443,127882.5688,48.73534599,-2.183602886,0.721584493,1,0.153268528
Clovis,California,1328.088,220933.129,293977.9817,26.92477579,-2.003282271,0.840453354,2,0.690796032
Vista,California,2153.798,167469.572,285928.4404,15.23620914,-1.922398955,0.821770408,1,1.907717037
Broken Arrow,Oklahoma,468.472,90050.561,115816.5138,45.7529786,-1.953098959,0.774502671,1,0.414946999
Richmond,California,1204.831,50195.77,116461.4679,26.36721105,-1.564478078,0.834361102,1,1.067173721
Arvada,Colorado,1614.177,148868.909,237648.6239,50.48037515,-2.214378887,0.719432585,1,1.429750127
Charlottesville,Virginia,760.668,296534.811,338371.5596,57.6227255,-1.706441779,0.686304154,2,0.395656339
Independence,Missouri,2525.571,236033.945,374940.367,26.44558926,-1.427276074,0.900747475,2,1.313658752
Tuscaloosa,Alabama,1273.817,86698.777,156758.7156,26.77133869,-2.136109197,0.79736794,1,1.128277765
Spartanburg,South Carolina,2930.775,158312.895,319505.5046,19.41076951,-1.34311976,0.942754824,1,2.595920972
Bellingham,Washington,2044.405,125854.077,238296.3303,43.27569733,-2.210942326,0.725957419,1,1.810822672
Melbourne,Florida,1312.045,357661.366,429823.8532,39.42044109,-2.13509228,0.852136832,3,0.483164697
